
Tue Dec 10 07:28:37 UTC 2019 
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5328544  24056 436328    0    0    20     5   47   84  0  0 100  0  0
 0  0      0 5305576  24064 436356    0    0     0    25  698 1135  5  3 93  0  0
 2  0      0 5305080  24064 436356    0    0     0     0  213  352  0  0 100  0  0
 0  0      0 5305044  24064 436348    0    0     0    11  206  357  0  0 100  0  0
 0  0      0 5305680  24064 436332    0    0     0     2  211  361  0  0 100  0  0
 0  0      0 5306424  24072 436336    0    0     0     5  209  349  0  0 99  0  0
 0  0      0 5306456  24080 436332    0    0     0     2  227  402  0  0 99  0  0
 0  0      0 5306144  24088 436384    0    0     0    25  546  914  2  1 97  0  0
 0  0      0 5306160  24088 436392    0    0     0     0  196  344  0  0 100  0  0
 0  0      0 5306208  24088 436376    0    0     0     0  199  339  0  0 100  0  0
 1  0      0 5306208  24088 436376    0    0     0     0  198  331  0  0 99  0  0
 0  0      0 5306084  24088 436376    0    0     0    13  208  345  0  0 100  0  0
 0  0      0 5330396  24096 436344    0    0     0     3  211  391  0  0 100  0  0
 0  0      0 5330520  24104 436352    0    0     0    18  451  779  2  2 97  0  0
 2  0      0 5330520  24104 436352    0    0     0     0  137  253  0  0 100  0  0
 0  0      0 5330700  24104 436336    0    0     0     0  133  243  0  0 100  0  0
 0  0      0 5330832  24104 436324    0    0     0     0  141  255  0  0 100  0  0
 0  0      0 5330832  24104 436332    0    0     0     2  141  247  0  0 100  0  0
 0  0      0 5330848  24112 436340    0    0     0    11  189  342  0  0 100  0  0
