
Tue Dec 10 07:28:37 UTC 2019 
UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 04:36 pts/0    00:00:00 /bin/bash
root      3460     1  3460  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3461  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3462  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3463  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3464  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3465  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3466  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3467  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3468  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3469  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3470  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3471  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3472  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3473  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3474  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3475  0   17 07:28 pts/0    00:00:00 java MyClass
root      3460     1  3476  0   17 07:28 pts/0    00:00:00 java MyClass
root      3477     1  3477  0    5 07:28 pts/0    00:00:00 ./cmd/cmd -p 3460 -s https://gceasy.io -k testCompany@e094a34e-c3eb-4c9a-8254-f0dd107245cc -j /usr/lib/jvm/java-11-openjdk-amd64
root      3477     1  3478  0    5 07:28 pts/0    00:00:00 ./cmd/cmd -p 3460 -s https://gceasy.io -k testCompany@e094a34e-c3eb-4c9a-8254-f0dd107245cc -j /usr/lib/jvm/java-11-openjdk-amd64
root      3477     1  3479  0    5 07:28 pts/0    00:00:00 ./cmd/cmd -p 3460 -s https://gceasy.io -k testCompany@e094a34e-c3eb-4c9a-8254-f0dd107245cc -j /usr/lib/jvm/java-11-openjdk-amd64
root      3477     1  3480  0    5 07:28 pts/0    00:00:00 ./cmd/cmd -p 3460 -s https://gceasy.io -k testCompany@e094a34e-c3eb-4c9a-8254-f0dd107245cc -j /usr/lib/jvm/java-11-openjdk-amd64
root      3477     1  3481  0    5 07:28 pts/0    00:00:00 ./cmd/cmd -p 3460 -s https://gceasy.io -k testCompany@e094a34e-c3eb-4c9a-8254-f0dd107245cc -j /usr/lib/jvm/java-11-openjdk-amd64
root      3484  3477  3484  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
root      3484  3477  3485  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
root      3484  3477  3488  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
root      3484  3477  3489  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
root      3484  3477  3490  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
root      3484  3477  3491  0    8 07:28 pts/0    00:00:00 /usr/lib/jvm/java-11-openjdk-amd64/bin/jstat -gc -t 3460 2000 30
